date,time,open,high,low,close,tick_volume,spread,real_volume
2023-01-19 20:10:00,1674126600,20768.038,20770.538,20742.638,20745.938,195,2424,0
2023-01-19 20:20:00,1674127200,20745.938,20748.738,20715.838,20726.938,238,2424,0
2023-01-19 20:30:00,1674127800,20726.938,20738.738,20706.238,20735.238,222,2424,0
2023-01-19 20:40:00,1674128400,20735.238,20747.738,20722.338,20745.238,186,2424,0
2023-01-19 20:50:00,1674129000,20745.238,20748.138,20726.238,20740.138,153,2424,0
2023-01-19 21:00:00,1674129600,20740.138,20745.738,20713.238,20745.738,183,2424,0
2023-01-19 21:10:00,1674130200,20746.038,20775.738,20742.657,20773.838,186,2424,0
2023-01-19 21:20:00,1674130800,20773.838,20773.838,20753.038,20763.338,161,2424,0
2023-01-19 21:30:00,1674131400,20763.338,20763.338,20733.638,20738.682,218,2424,0
2023-01-19 21:40:00,1674132000,20738.471,20744.038,20700.038,20709.138,287,2424,0
2023-01-19 21:50:00,1674132600,20709.138,20733.738,20677.473,20728.547,313,2424,0
2023-01-19 22:00:00,1674133200,20726.938,20737.238,20697.438,20714.438,248,2424,0
2023-01-19 22:10:00,1674133800,20714.438,20723.238,20659.838,20666.738,380,2424,0
2023-01-19 22:20:00,1674134400,20668.838,20771.938,20668.338,20771.938,382,2424,0
2023-01-19 22:30:00,1674135000,20775.238,20783.843,20701.338,20763.238,522,2424,0
2023-01-19 22:40:00,1674135600,20763.238,20810.638,20754.338,20763.138,362,2424,0
2023-01-19 22:50:00,1674136200,20765.238,20796.138,20752.038,20775.638,269,2424,0
2023-01-19 23:00:00,1674136800,20773.963,20788.938,20729.038,20743.77,349,2424,0
2023-01-19 23:10:00,1674137400,20744.138,20748.138,20721.638,20722.338,231,2424,0
2023-01-19 23:20:00,1674138000,20722.338,20776.138,20720.043,20767.938,251,2424,0
2023-01-19 23:30:00,1674138600,20767.938,20838.738,20764.038,20822.838,497,2424,0
2023-01-19 23:40:00,1674139200,20826.238,20879.74,20762.238,20769.838,570,2424,0
2023-01-19 23:50:00,1674139800,20768.438,20807.538,20749.638,20798.538,451,2424,0
2023-01-20 00:00:00,1674140400,20799.638,20925.738,20786.038,20880.938,511,2424,0
2023-01-20 00:10:00,1674141000,20879.738,20958.438,20829.438,20910.038,524,2424,0
2023-01-20 00:20:00,1674141600,20907.838,20930.838,20878.307,20901.838,508,2424,0
2023-01-20 00:30:00,1674142200,20901.838,20901.838,20866.538,20895.638,378,2424,0
2023-01-20 00:40:00,1674142800,20895.738,20919.838,20855.138,20868.038,408,2424,0
2023-01-20 00:50:00,1674143400,20868.038,20881.638,20858.938,20869.538,259,2424,0
2023-01-20 01:00:00,1674144000,20869.538,20885.238,20823.838,20881.838,305,2424,0
2023-01-20 01:10:00,1674144600,20881.838,20924.638,20880.738,20901.838,354,2424,0
2023-01-20 01:20:00,1674145200,20901.838,20903.638,20884.938,20891.838,154,2424,0
2023-01-20 01:30:00,1674145800,20891.838,20891.838,20851.438,20873.538,245,2424,0
2023-01-20 01:40:00,1674146400,20874.638,20888.738,20838.338,20886.838,251,2424,0
2023-01-20 01:50:00,1674147000,20886.838,20888.638,20860.957,20872.238,172,2424,0
2023-01-20 02:00:00,1674147600,20872.238,20916.738,20872.238,20891.138,218,2424,0
2023-01-20 02:10:00,1674148200,20891.138,20941.038,20891.138,20924.838,246,2424,0
2023-01-20 02:20:00,1674148800,20922.438,20924.938,20882.038,20898.738,228,2424,0
2023-01-20 02:30:00,1674149400,20898.738,20898.738,20874.838,20878.538,179,2424,0
2023-01-20 02:40:00,1674150000,20878.538,20885.038,20856.238,20858.138,205,2424,0
2023-01-20 02:50:00,1674150600,20858.138,20865.438,20789.438,20837.038,409,2424,0
2023-01-20 03:00:00,1674151200,20837.038,20883.894,20828.838,20854.838,296,2424,0
2023-01-20 03:10:00,1674151800,20854.838,20881.338,20844.238,20878.538,262,2424,0
2023-01-20 03:20:00,1674152400,20877.231,20906.338,20862.938,20879.638,258,2424,0
2023-01-20 03:30:00,1674153000,20879.638,20931.338,20876.993,20926.438,288,2424,0
2023-01-20 03:40:00,1674153600,20926.438,21019.538,20919.938,20990.138,420,2424,0
2023-01-20 03:50:00,1674154200,20988.852,20988.852,20952.438,20975.838,289,2424,0
2023-01-20 04:00:00,1674154800,20975.838,20983.738,20945.838,20972.838,248,2424,0
2023-01-20 04:10:00,1674155400,20972.838,21050.838,20969.138,21032.338,434,2424,0
2023-01-20 04:20:00,1674156000,21040.138,21095.138,21025.038,21072.538,464,2424,0
2023-01-20 04:30:00,1674156600,21072.538,21129.664,21058.938,21064.938,435,2424,0
2023-01-20 04:40:00,1674157200,21064.938,21138.138,21033.838,21098.238,450,2424,0
2023-01-20 04:50:00,1674157800,21098.238,21112.738,21079.538,21088.838,366,2424,0
2023-01-20 05:00:00,1674158400,21088.838,21141.738,21088.838,21134.538,402,2424,0
2023-01-20 05:10:00,1674159000,21134.538,21151.138,21118.538,21146.738,264,2424,0
2023-01-20 05:20:00,1674159600,21147.038,21182.638,21127.857,21137.538,426,2424,0
2023-01-20 05:30:00,1674160200,21139.038,21141.238,21074.838,21083.638,413,2424,0
2023-01-20 05:40:00,1674160800,21083.638,21093.438,21032.638,21089.138,298,2424,0
2023-01-20 05:50:00,1674161400,21089.138,21098.138,21081.338,21096.038,221,2424,0
2023-01-20 06:00:00,1674162000,21097.738,21108.738,21038.499,21048.938,335,2424,0
2023-01-20 06:10:00,1674162600,21048.938,21048.938,21005.038,21021.038,355,2424,0
2023-01-20 06:20:00,1674163200,21021.938,21043.938,21014.638,21039.345,199,2424,0
2023-01-20 06:30:00,1674163800,21039.341,21040.638,21015.638,21016.514,168,2424,0
2023-01-20 06:40:00,1674164400,21016.838,21018.238,20952.838,20954.338,301,2424,0
2023-01-20 06:50:00,1674165000,20953.838,20964.838,20915.438,20928.638,280,2424,0
2023-01-20 07:00:00,1674165600,20928.638,20997.16,20926.838,20994.638,185,2424,0
